,unique_id,ds,cutoff,NBEATSx,Real_value
8455,BTC,2023-03-23,2023-02-23,0.008263997,0.01139401118197184
8483,BTC,2023-03-24,2023-02-24,0.0074495804,0.007406915361029386
8511,BTC,2023-03-25,2023-02-25,0.006691545,0.00523716241113448
8539,BTC,2023-03-26,2023-02-26,0.0066029616,0.005972735615233762
8567,BTC,2023-03-27,2023-02-27,0.0065418314,0.008820101316621521
8595,BTC,2023-03-28,2023-02-28,0.0062156552,0.007765109585206496
8623,BTC,2023-03-29,2023-03-01,0.0068214857,0.008070432856036537
8651,BTC,2023-03-30,2023-03-02,0.007271831,0.010297986597136875
8679,BTC,2023-03-31,2023-03-03,0.006259652,0.0073328933005549985
8707,BTC,2023-04-01,2023-03-04,0.0065620244,0.003967708815196685
8735,BTC,2023-04-02,2023-03-05,0.005929425,0.0044530754632712685
8763,BTC,2023-04-03,2023-03-06,0.0058786413,0.009290984900634689
8791,BTC,2023-04-04,2023-03-07,0.0071124826,0.005110645602440468
8819,BTC,2023-04-05,2023-03-08,0.006021277,0.007189738093489928
8847,BTC,2023-04-06,2023-03-09,0.008026738,0.004429274566780337
8875,BTC,2023-04-07,2023-03-10,0.007955549,0.00311903693202142
8903,BTC,2023-04-08,2023-03-11,0.008116767,0.0023074120444932828
8931,BTC,2023-04-09,2023-03-12,0.009050547,0.004010570220826339
8959,BTC,2023-04-10,2023-03-13,0.0087827295,0.0071978871547653525
8987,BTC,2023-04-11,2023-03-14,0.009922298,0.006770664327877039
9015,BTC,2023-04-12,2023-03-15,0.009426683,0.005954123711961066
9043,BTC,2023-04-13,2023-03-16,0.009509464,0.004523080601911226
9071,BTC,2023-04-14,2023-03-17,0.009436107,0.006542006639993363
9099,BTC,2023-04-15,2023-03-18,0.009190997,0.0027392869627720995
9127,BTC,2023-04-16,2023-03-19,0.0089740185,0.0031122878037538773
9155,BTC,2023-04-17,2023-03-20,0.009569382,0.00591770422636638
9183,BTC,2023-04-18,2023-03-21,0.010202941,0.00610662534634481
9211,BTC,2023-04-19,2023-03-22,0.0126605965,0.009375001790386653
9239,BTC,2023-04-20,2023-03-23,0.011599518,0.00728573890560463
9267,BTC,2023-04-21,2023-03-24,0.011214564,0.007251532291417288
9295,BTC,2023-04-22,2023-03-25,0.009691136,0.004203482264427904
9323,BTC,2023-04-23,2023-03-26,0.009798679,0.005129973383046669
9351,BTC,2023-04-24,2023-03-27,0.009747975,0.007579220324654341
9379,BTC,2023-04-25,2023-03-28,0.009625289,0.006050662886867258
9407,BTC,2023-04-26,2023-03-29,0.009255491,0.019943459355491612
9435,BTC,2023-04-27,2023-03-30,0.009719396,0.012429104227734517
9463,BTC,2023-04-28,2023-03-31,0.009581415,0.005461604493778319
9491,BTC,2023-04-29,2023-04-01,0.008628898,0.0030268949455448725
9519,BTC,2023-04-30,2023-04-02,0.009073511,0.0053373409755288394
9547,BTC,2023-05-01,2023-04-03,0.009663717,0.009608407116535636
9575,BTC,2023-05-02,2023-04-04,0.009725738,0.006448760399845342
9603,BTC,2023-05-03,2023-04-05,0.008319518,0.007730363860690735
9631,BTC,2023-05-04,2023-04-06,0.007908144,0.005030363231919763
9659,BTC,2023-05-05,2023-04-07,0.008135093,0.0065784880603243
9687,BTC,2023-05-06,2023-04-08,0.006939389,0.005681627577659929
9715,BTC,2023-05-07,2023-04-09,0.007892423,0.004686432692567028
9743,BTC,2023-05-08,2023-04-10,0.0081683835,0.007991283099657359
9771,BTC,2023-05-09,2023-04-11,0.007881394,0.005340878448080619
9799,BTC,2023-05-10,2023-04-12,0.008991638,0.011720265018926116
9827,BTC,2023-05-11,2023-04-13,0.008070029,0.006059308605930546
9855,BTC,2023-05-12,2023-04-14,0.008802089,0.008163772145213587
9883,BTC,2023-05-13,2023-04-15,0.00740315,0.0035782161948330004
9911,BTC,2023-05-14,2023-04-16,0.0055587757,0.0035289455318719197
9939,BTC,2023-05-15,2023-04-17,0.0072128386,0.00569923201437395
