,unique_id,ds,cutoff,NHITS,Real_value
4920,ETH,2023-09-01,2023-08-25,0.007631759,0.006151341752101385
4927,ETH,2023-09-02,2023-08-26,0.0051133707,0.0021463470859723033
4934,ETH,2023-09-03,2023-08-27,0.00705537,0.002948906445280603
4941,ETH,2023-09-04,2023-08-28,0.0072690253,0.0032192051340610285
4948,ETH,2023-09-05,2023-08-29,0.009247251,0.003779590326787614
4955,ETH,2023-09-06,2023-08-30,0.0052012517,0.006998206078682045
4962,ETH,2023-09-07,2023-08-31,0.0057635703,0.0036485318237740026
4969,ETH,2023-09-08,2023-09-01,0.007386945,0.003913825972107102
4976,ETH,2023-09-09,2023-09-02,0.0052099447,0.001293633863308046
4983,ETH,2023-09-10,2023-09-03,0.0054097963,0.004180824683605651
4990,ETH,2023-09-11,2023-09-04,0.005015118,0.007551943539433616
4997,ETH,2023-09-12,2023-09-05,0.005177862,0.008462079801394512
5004,ETH,2023-09-13,2023-09-06,0.0070429137,0.005380632560980506
5011,ETH,2023-09-14,2023-09-07,0.0059887953,0.006165911943833846
5018,ETH,2023-09-15,2023-09-08,0.006269643,0.004544015019116155
5025,ETH,2023-09-16,2023-09-09,0.004482123,0.00227457969468314
5032,ETH,2023-09-17,2023-09-10,0.004588433,0.0031362973725008883
5039,ETH,2023-09-18,2023-09-11,0.0061897193,0.005845779298095004
5046,ETH,2023-09-19,2023-09-12,0.0055833254,0.004623885082735641
5053,ETH,2023-09-20,2023-09-13,0.0058380347,0.0051186937242593145
5060,ETH,2023-09-21,2023-09-14,0.0064287875,0.004997481079478316
5067,ETH,2023-09-22,2023-09-15,0.0056566494,0.0032263493715811477
5074,ETH,2023-09-23,2023-09-16,0.0043508494,0.0017009348888942836
5081,ETH,2023-09-24,2023-09-17,0.0050132135,0.003789543209934356
5088,ETH,2023-09-25,2023-09-18,0.0056606596,0.004325094363666679
5095,ETH,2023-09-26,2023-09-19,0.005609791,0.0032065453106622957
5102,ETH,2023-09-27,2023-09-20,0.0060185976,0.0059880108606430085
5109,ETH,2023-09-28,2023-09-21,0.0058935466,0.005626930902309433
5116,ETH,2023-09-29,2023-09-22,0.0051601976,0.005758225573539723
5123,ETH,2023-09-30,2023-09-23,0.0039479653,0.0031502395812173047
5130,ETH,2023-10-01,2023-09-24,0.0044946983,0.008725601349655015
5137,ETH,2023-10-02,2023-09-25,0.004284749,0.008955794634401404
5144,ETH,2023-10-03,2023-09-26,0.00405819,0.004159153014664744
5151,ETH,2023-10-04,2023-09-27,0.0056880736,0.005114380577897463
5158,ETH,2023-10-05,2023-09-28,0.0052165026,0.005237198014958771
5165,ETH,2023-10-06,2023-09-29,0.005470055,0.0056139027844157845
