,unique_id,ds,cutoff,NHITS,Real_value
4535,BTC,2022-12-20,2022-11-29,0.0064737387,0.005908901509387009
4556,BTC,2022-12-21,2022-11-30,0.009468538,0.003529032877279797
4577,BTC,2022-12-22,2022-12-01,0.0064982865,0.003728961739168711
4598,BTC,2022-12-23,2022-12-02,0.008107383,0.0030634412265028678
4619,BTC,2022-12-24,2022-12-03,0.006554478,0.0012879963269890372
4640,BTC,2022-12-25,2022-12-04,0.0064918557,0.0020985801328894252
4661,BTC,2022-12-26,2022-12-05,0.0072002304,0.0020241269639090513
4682,BTC,2022-12-27,2022-12-06,0.004426836,0.003159707147842505
4703,BTC,2022-12-28,2022-12-07,0.005271962,0.004085587007311961
4724,BTC,2022-12-29,2022-12-08,0.0060152477,0.002318734084380499
4745,BTC,2022-12-30,2022-12-09,0.004989354,0.0037625568727439745
4766,BTC,2022-12-31,2022-12-10,0.0042274394,0.0017914351399184064
4787,BTC,2023-01-01,2022-12-11,0.0050583538,0.0013277310183345285
4808,BTC,2023-01-02,2022-12-12,0.0048644333,0.0028671725717031417
4829,BTC,2023-01-03,2022-12-13,0.007764954,0.002366905580151899
4850,BTC,2023-01-04,2022-12-14,0.0064766984,0.003699651845527055
4871,BTC,2023-01-05,2022-12-15,0.0049500945,0.0018791605124692742
4892,BTC,2023-01-06,2022-12-16,0.009198711,0.003207198822572768
4913,BTC,2023-01-07,2022-12-17,0.0062210495,0.0010769360376931647
4934,BTC,2023-01-08,2022-12-18,0.0067115794,0.002971367992274061
4955,BTC,2023-01-09,2022-12-19,0.007879071,0.0033937756597807473
4976,BTC,2023-01-10,2022-12-20,0.0067919595,0.002838823318190486
4997,BTC,2023-01-11,2022-12-21,0.004712271,0.0059838758351680125
5018,BTC,2023-01-12,2022-12-22,0.0063669025,0.013116555655162739
5039,BTC,2023-01-13,2022-12-23,0.0053858142,0.008386622811247794
5060,BTC,2023-01-14,2022-12-24,0.0048226067,0.016180891661152285
5081,BTC,2023-01-15,2022-12-25,0.0051725497,0.006308990007210251
5102,BTC,2023-01-16,2022-12-26,0.0030040506,0.0086661359216884
5123,BTC,2023-01-17,2022-12-27,0.0036059823,0.007037566137172389
5144,BTC,2023-01-18,2022-12-28,0.004466949,0.009848662102241678
5165,BTC,2023-01-19,2022-12-29,0.0037220907,0.004858190320675981
5186,BTC,2023-01-20,2022-12-30,0.0045182514,0.009874863553164087
5207,BTC,2023-01-21,2022-12-31,0.002849051,0.009992194991739237
5228,BTC,2023-01-22,2023-01-01,0.0031074702,0.007118588217233204
5249,BTC,2023-01-23,2023-01-02,0.0036676996,0.007761367384270221
5270,BTC,2023-01-24,2023-01-03,0.0035671094,0.006019005879626113
5291,BTC,2023-01-25,2023-01-04,0.0056309984,0.01215356691094544
5312,BTC,2023-01-26,2023-01-05,0.0032919706,0.005951484881528134
5333,BTC,2023-01-27,2023-01-06,0.0043138214,0.00719448521852175
5354,BTC,2023-01-28,2023-01-07,0.0028830948,0.0027244206785009364
5375,BTC,2023-01-29,2023-01-08,0.0053810286,0.006552012272130437
5396,BTC,2023-01-30,2023-01-09,0.0052266475,0.007774572038015252
5417,BTC,2023-01-31,2023-01-10,0.0047085225,0.0058411462186139275
5438,BTC,2023-02-01,2023-01-11,0.0067428895,0.006760573694235735
5459,BTC,2023-02-02,2023-01-12,0.010583134,0.00913995362108163
5480,BTC,2023-02-03,2023-01-13,0.005823002,0.0054789393651938625
5501,BTC,2023-02-04,2023-01-14,0.013729761,0.0028069248716729054
